id,product_name,buy_date,price,expiration_date
1237,prosciutto,2023-06-16,7.11,2023-09-09
1238,spinach,2023-08-03,5.33,2023-09-27
1239,guinea hen,2023-06-27,7.85,2023-09-11
1240,cardamom,2023-06-20,3.79,2023-08-16
1241,liquor,2023-06-08,4.45,2023-08-17
1242,salt,2023-07-22,5.0,2023-09-27
1243,cheese spread,2023-08-16,0.58,2023-10-23
1244,cooking oil,2023-06-11,8.1,2023-07-11
1245,boysenberry syrup,2023-06-10,2.22,2023-08-01
1246,seasoning,2023-06-11,1.48,2023-08-23
1247,canola,2023-07-26,6.15,2023-08-07
1248,peanut butter,2023-06-18,4.16,2023-07-09
1249,champagne,2023-08-03,6.43,2023-08-13
1250,ginger ale,2023-08-21,3.93,2023-11-25
1251,cheeseburger,2023-08-04,0.75,2023-08-25
1252,cow & gate premium,2023-06-20,7.99,2023-09-23
1253,cheeseburger,2023-06-07,5.26,2023-09-07
1254,cooking oil,2023-08-10,8.93,2023-09-23
1255,pakora,2023-06-12,9.42,2023-09-17
1256,boysenberry syrup,2023-08-23,9.94,2023-10-07
1257,ginger ale,2023-06-17,3.85,2023-08-01
1258,prosciutto,2023-08-07,7.34,2023-09-02
1259,guinea hen,2023-06-20,9.67,2023-09-07
1260,pops ,2023-07-07,5.04,2023-09-01
1261,complan powder,2023-07-16,6.07,2023-10-20
1262,boysenberry syrup,2023-07-27,7.09,2023-10-31
1263,huckleberry,2023-06-21,5.08,2023-09-26
1264,jabuticaba,2023-07-25,1.01,2023-09-17
1265,ice cream bar,2023-06-16,8.93,2023-09-16
1266,lobster,2023-06-22,6.77,2023-07-22
1267,gem squash,2023-08-11,8.52,2023-09-18
1268,flat bread,2023-08-09,3.99,2023-10-18
1269,sambar,2023-08-19,5.59,2023-10-01
1270,veggie burger,2023-06-16,9.9,2023-08-03
1271,pops ,2023-08-10,2.75,2023-08-30
1272,complan powder,2023-06-19,8.64,2023-06-30
1273,cooking oil,2023-07-16,0.82,2023-09-05
1274,jabuticaba,2023-06-15,5.55,2023-07-02
1275,allspice,2023-08-15,0.95,2023-11-17
1276,japanese chestnut,2023-07-09,9.64,2023-07-20
1277,cracker,2023-08-22,1.94,2023-11-03
1278,salt,2023-08-07,8.02,2023-09-27
1279,japanese chestnut,2023-06-21,1.0,2023-08-27
1280,turbot,2023-06-20,7.88,2023-07-03
1281,poppy,2023-08-18,9.66,2023-09-22
1282,beef bourguignonne,2023-06-10,6.38,2023-07-22
1283,gem squash,2023-06-15,6.91,2023-08-27
1284,greek yogurt,2023-07-23,7.76,2023-08-24
1285,elderberry,2023-07-20,1.94,2023-09-03
1286,gem squash,2023-08-06,8.71,2023-09-19
1287,corned beef,2023-06-28,7.68,2023-08-10
1288,pops ,2023-06-12,6.48,2023-07-22
1289,poppy,2023-06-20,1.39,2023-07-19
1290,cheeseburger,2023-06-18,6.82,2023-07-28
1291,hamburger,2023-06-23,2.4,2023-09-20
1292,suet,2023-08-07,7.03,2023-10-25
1293,ginger ale,2023-07-08,8.48,2023-08-15
1294,rapini,2023-08-10,4.37,2023-10-30
1295,cracker,2023-07-18,7.32,2023-10-12
1296,greek yogurt,2023-08-17,7.05,2023-09-06
1297,consomme,2023-07-09,2.43,2023-10-06
1298,fruit pastille,2023-06-09,3.67,2023-07-29
1299,pilau,2023-06-27,3.54,2023-08-22
1300,kitchen utensil,2023-08-20,7.78,2023-10-06
1301,egg,2023-07-03,5.04,2023-08-11
1302,consomme,2023-06-24,2.94,2023-09-05
1303,chinese salted fish,2023-07-22,1.97,2023-08-24
1304,japanese chestnut,2023-08-14,1.18,2023-09-20
1305,mint sauce,2023-07-27,8.96,2023-09-14
1306,cracker,2023-08-21,1.84,2023-09-15
1307,rapini,2023-07-09,6.76,2023-08-20
1308,dried mixed fruit,2023-07-03,1.86,2023-08-18
1309,consomme,2023-06-28,4.18,2023-08-27
1310,prosciutto,2023-06-27,4.64,2023-08-24
1311,donut,2023-08-18,1.56,2023-10-13
1312,natal plum,2023-07-17,9.58,2023-07-28
1313,currant jelly,2023-06-30,5.17,2023-09-20
1314,natal plum,2023-07-09,4.51,2023-09-24
1315,allspice,2023-07-02,1.94,2023-07-20
1316,seasoning,2023-07-20,4.29,2023-10-18
1317,flat bread,2023-07-01,8.19,2023-09-15
1318,cracker,2023-06-10,9.83,2023-09-15
1319,peanut butter,2023-06-27,4.67,2023-09-19
1320,ginger ale,2023-07-02,3.57,2023-09-16
1321,fruit pastille,2023-08-14,3.55,2023-10-09
1322,veggie burger,2023-08-14,4.66,2023-11-07
1323,cocoa butter alternative,2023-06-25,8.67,2023-07-15
1324,complan powder,2023-08-18,1.22,2023-09-20
1325,seasoning,2023-07-02,5.28,2023-09-24
1326,cheese spread,2023-07-31,3.86,2023-10-09
1327,veggie burger,2023-06-28,1.67,2023-09-27
1328,cow & gate premium,2023-07-13,7.08,2023-09-20
1329,greek yogurt,2023-07-20,6.66,2023-10-21
1330,custard apple,2023-07-21,5.56,2023-09-23
1331,chablis,2023-06-27,5.87,2023-09-01
1332,turbot,2023-08-20,5.69,2023-11-15
1333,risotto,2023-08-16,2.08,2023-11-17
1334,sparkleberry,2023-07-18,4.67,2023-08-19
1335,prosciutto,2023-07-17,3.85,2023-08-29
1336,sparkleberry,2023-07-03,9.5,2023-08-02
1337,rapini,2023-08-19,4.96,2023-10-04
1338,consomme,2023-08-10,9.28,2023-10-11
1339,collard green,2023-07-01,0.73,2023-09-25
1340,champagne,2023-07-29,6.27,2023-10-24
1341,greek yogurt,2023-06-15,1.27,2023-07-05
1342,spinach,2023-07-22,2.58,2023-10-19
1343,sambar,2023-07-01,6.71,2023-08-24
1344,gem squash,2023-06-30,1.66,2023-08-12
1345,rapini,2023-06-22,3.17,2023-08-09
1346,pops ,2023-08-10,5.53,2023-11-15
1347,huckleberry,2023-08-12,2.29,2023-10-20
1348,pops ,2023-08-11,4.86,2023-10-18
1349,consomme,2023-06-18,0.58,2023-07-12
1350,flat bread,2023-08-23,3.94,2023-09-22
1351,mincemeat,2023-07-11,4.05,2023-08-19
1352,chablis,2023-06-13,3.1,2023-09-12
1353,cow & gate premium,2023-08-18,2.92,2023-09-07
1354,elderberry,2023-07-07,3.4,2023-08-30
1355,jabuticaba,2023-06-17,8.76,2023-07-26
1356,gem squash,2023-08-11,1.55,2023-09-20
1357,cocoa butter alternative,2023-06-22,6.67,2023-07-14
1358,jabuticaba,2023-07-06,5.05,2023-08-26
1359,boysenberry syrup,2023-06-16,2.19,2023-08-16
1360,gem squash,2023-06-12,5.28,2023-07-13
1361,lobster,2023-08-03,9.58,2023-10-22
1362,passion fruit juice,2023-08-05,1.26,2023-10-25
1363,chablis,2023-08-02,6.04,2023-09-24
1364,salt,2023-07-26,7.9,2023-09-29
1365,mincemeat,2023-07-26,9.55,2023-10-05
1366,currant jelly,2023-08-03,0.87,2023-09-15
1367,lobster,2023-08-05,4.04,2023-10-19
1368,poppy,2023-08-09,6.59,2023-11-04
1369,cracker,2023-07-13,7.11,2023-10-17
1370,frijj,2023-07-05,1.38,2023-08-16
1371,beef bourguignonne,2023-08-10,6.69,2023-08-22
1372,ice cream bar,2023-07-10,3.85,2023-08-11
1373,pilau,2023-06-18,4.66,2023-08-10
1374,syrup,2023-07-26,0.99,2023-08-19
1375,frijj,2023-06-21,6.18,2023-07-09
1376,passion fruit juice,2023-08-14,0.93,2023-09-27
1377,evergreen huckleberry,2023-08-23,4.02,2023-10-09
1378,champagne,2023-08-14,8.5,2023-11-04
1379,turbot,2023-06-16,3.8,2023-06-28
1380,pilau,2023-06-16,2.18,2023-07-05
1381,liver loaf,2023-07-02,5.1,2023-10-01
1382,mincemeat,2023-08-06,8.26,2023-10-02
1383,liquor,2023-08-20,4.11,2023-11-12
1384,greek yogurt,2023-07-26,8.99,2023-10-12
1385,allspice,2023-07-17,1.41,2023-07-27
1386,kitchen utensil,2023-08-18,9.35,2023-11-08
1387,cracker,2023-07-10,6.29,2023-09-07
1388,pakora,2023-08-04,9.5,2023-09-19
1389,cocoa butter alternative,2023-07-21,6.32,2023-08-15
1390,flat bread,2023-07-04,1.22,2023-08-27
1391,chablis,2023-07-16,1.91,2023-08-04
1392,pilau,2023-07-13,3.11,2023-08-31
1393,cheese spread,2023-08-01,4.06,2023-09-04
1394,liquor,2023-07-04,9.83,2023-10-10
1395,fodder,2023-08-06,6.05,2023-08-16
1396,consomme,2023-08-05,9.45,2023-09-17
1397,liver loaf,2023-06-28,5.16,2023-09-05
1398,prosciutto,2023-07-24,9.76,2023-10-05
1399,collard green,2023-08-15,2.79,2023-11-11
1400,sparkleberry,2023-06-26,3.49,2023-08-05
1401,rapini,2023-07-19,7.53,2023-08-05
1402,yorkshire pudding,2023-07-23,6.89,2023-08-08
1403,lobster,2023-08-12,9.97,2023-09-10
1404,sambar,2023-07-31,0.67,2023-10-07
1405,applewood bacon,2023-07-15,2.13,2023-09-19
1406,ginger ale,2023-07-31,0.93,2023-10-20
1407,organic sausage,2023-08-21,6.51,2023-09-01
1408,japanese chestnut,2023-06-25,9.7,2023-07-20
1409,pakora,2023-06-23,4.29,2023-09-06
1410,spinach,2023-06-17,3.55,2023-07-29
1411,cheese spread,2023-07-01,6.94,2023-09-08
1412,allspice,2023-08-17,8.79,2023-11-16
1413,jackfruit,2023-07-22,1.59,2023-09-29
1414,bacardi,2023-07-30,2.25,2023-10-30
1415,liquor,2023-06-13,1.6,2023-07-23
1416,sparkleberry,2023-07-17,5.54,2023-08-13
1417,mint sauce,2023-06-11,1.82,2023-07-27
1418,salt,2023-08-20,3.26,2023-10-26
1419,cocoa butter alternative,2023-08-05,7.39,2023-08-25
1420,chilli con carne,2023-06-20,5.97,2023-07-31
1421,peanut butter,2023-06-24,4.74,2023-09-11
1422,cooking oil,2023-06-25,4.33,2023-07-22
1423,canola,2023-06-22,8.57,2023-08-26
1424,dried mixed fruit,2023-08-17,2.3,2023-11-17
1425,beef bourguignonne,2023-06-18,8.8,2023-06-29
1426,cardamom,2023-07-04,2.85,2023-07-19
1427,chilli con carne,2023-07-14,1.43,2023-08-04
1428,custard apple,2023-07-15,6.99,2023-10-03
1429,evergreen huckleberry,2023-07-03,5.82,2023-08-03
1430,mint sauce,2023-07-01,1.07,2023-08-14
1431,sambar,2023-06-08,6.03,2023-07-17
1432,canola,2023-08-19,7.94,2023-09-02
1433,frijj,2023-07-04,4.39,2023-09-03
1434,mincemeat,2023-07-01,4.74,2023-08-13
1435,bacardi,2023-08-14,7.94,2023-10-26
1436,pilau,2023-07-23,3.16,2023-08-11
1437,applewood bacon,2023-06-18,2.38,2023-09-08
1438,jackfruit,2023-08-05,4.14,2023-10-13
1439,gem squash,2023-08-08,4.9,2023-09-06
1440,elderberry,2023-06-09,1.98,2023-07-24
1441,cooking oil,2023-08-13,8.28,2023-09-16
1442,ginger ale,2023-08-12,4.35,2023-09-02
1443,allspice,2023-07-02,0.5,2023-08-19
1444,boiled egg,2023-08-22,4.6,2023-11-21
1445,prosciutto,2023-08-11,1.61,2023-09-10
1446,fruit pastille,2023-08-04,3.22,2023-08-22
1447,natal plum,2023-07-27,2.69,2023-08-23
1448,pilau,2023-08-06,1.8,2023-10-18
1449,boiled egg,2023-07-02,0.73,2023-09-27
1450,chilli con carne,2023-08-07,8.19,2023-10-04
1451,elderberry,2023-07-09,8.04,2023-08-25
1452,consomme,2023-06-10,9.74,2023-07-16
1453,liver loaf,2023-08-16,5.12,2023-11-22
1454,cooking oil,2023-06-16,7.58,2023-08-10
1455,rice cake,2023-07-06,1.88,2023-08-29
1456,mincemeat,2023-07-13,9.18,2023-07-31
1457,veggie burger,2023-07-20,5.85,2023-10-16
1458,canola,2023-07-08,8.53,2023-10-01
1459,cocoa butter alternative,2023-08-11,6.79,2023-08-23
1460,dried mixed fruit,2023-07-27,9.37,2023-10-16
1461,sparkleberry,2023-07-02,3.19,2023-09-06
1462,pakora,2023-06-22,3.44,2023-08-21
1463,corned beef,2023-07-13,5.49,2023-10-16
1464,pate,2023-08-18,1.68,2023-11-13
1465,huckleberry,2023-07-06,3.92,2023-07-18
1466,pops ,2023-07-01,3.44,2023-08-20
1467,pakora,2023-07-02,5.11,2023-09-15
1468,egg,2023-07-27,6.31,2023-09-01
1469,ginger ale,2023-06-19,0.59,2023-07-15
1470,canola,2023-06-28,1.88,2023-08-17
1471,hamburger,2023-07-21,5.02,2023-10-23
1472,boiled egg,2023-06-10,3.86,2023-07-25
1473,trout,2023-06-10,7.5,2023-06-22
1474,passion fruit juice,2023-07-01,5.21,2023-08-24
1475,yorkshire pudding,2023-08-18,8.59,2023-08-31
1476,complan powder,2023-07-23,9.31,2023-09-17
1477,turbot,2023-06-13,9.86,2023-09-04
1478,dried mixed fruit,2023-06-08,0.77,2023-08-07
1479,allspice,2023-07-25,2.71,2023-10-22
1480,elderberry,2023-07-18,6.2,2023-10-12
1481,liquor,2023-07-23,5.16,2023-10-30
1482,pate,2023-06-17,5.24,2023-09-07
1483,champagne,2023-08-08,4.19,2023-09-01
1484,spiny lobster,2023-07-22,3.53,2023-10-13
1485,hamburger,2023-07-12,9.43,2023-09-13
1486,cocoa butter alternative,2023-08-13,7.18,2023-10-27
1487,consomme,2023-07-28,1.1,2023-08-12
1488,mint sauce,2023-07-02,8.32,2023-08-31
1489,chablis,2023-06-26,1.98,2023-07-31
1490,cardamom,2023-08-09,5.57,2023-09-11
1491,rapini,2023-08-16,1.23,2023-09-02
1492,pakora,2023-06-13,3.49,2023-06-30
1493,cracker,2023-06-26,6.8,2023-08-31
1494,bacardi,2023-08-20,9.97,2023-10-26
1495,rapini,2023-08-21,4.19,2023-09-15
1496,jackfruit,2023-06-07,7.49,2023-08-12
1497,sambar,2023-06-09,3.44,2023-08-20
1498,peanut butter,2023-06-22,9.98,2023-09-21
1499,ginger ale,2023-07-11,0.84,2023-08-20
1500,fruit pastille,2023-07-29,6.21,2023-10-15
1501,consomme,2023-06-25,6.89,2023-08-26
1502,bacardi,2023-07-03,8.37,2023-07-21
1503,greek yogurt,2023-06-10,2.28,2023-08-28
1504,yorkshire pudding,2023-07-08,1.07,2023-09-06
1505,veggie burger,2023-08-10,8.34,2023-11-04
1506,fodder,2023-07-19,9.82,2023-10-17
1507,egg,2023-07-09,6.99,2023-09-16
1508,applewood bacon,2023-08-13,8.68,2023-10-13
1509,fruit pastille,2023-07-30,1.82,2023-10-01
1510,chablis,2023-07-13,0.99,2023-09-12
1511,passion fruit juice,2023-07-05,2.84,2023-09-20
1512,cracker,2023-08-17,6.16,2023-11-10
1513,sambar,2023-06-09,2.71,2023-08-15
1514,cheese spread,2023-08-02,5.76,2023-09-29
1515,corned beef,2023-07-03,3.4,2023-10-07
1516,cheeseburger,2023-07-07,2.47,2023-09-03
1517,cooking oil,2023-06-08,9.05,2023-08-28
1518,consomme,2023-07-28,1.05,2023-08-25
1519,passion fruit juice,2023-08-18,1.75,2023-09-22
1520,frijj,2023-06-14,8.41,2023-08-12
1521,evergreen huckleberry,2023-08-15,5.98,2023-09-16
1522,yorkshire pudding,2023-07-30,9.15,2023-09-28
1523,guinea hen,2023-06-17,1.12,2023-09-09
1524,corned beef,2023-07-08,0.86,2023-09-18
1525,sparkleberry,2023-06-12,2.23,2023-08-04
1526,gem squash,2023-06-12,3.92,2023-09-10
1527,peanut butter,2023-06-16,1.91,2023-07-10
1528,sambar,2023-08-14,9.55,2023-10-07
1529,pate,2023-07-21,4.48,2023-09-18
1530,currant jelly,2023-07-02,2.96,2023-09-20
1531,bacardi,2023-07-22,1.8,2023-08-07
1532,champagne,2023-07-25,8.93,2023-09-29
1533,gem squash,2023-07-30,8.09,2023-08-21
1534,bacardi,2023-07-17,4.29,2023-08-21
1535,sparkleberry,2023-07-10,6.78,2023-10-02
1536,boysenberry syrup,2023-06-11,2.25,2023-08-10
1537,pilau,2023-07-11,1.59,2023-08-05
1538,sambar,2023-06-11,1.02,2023-08-29
1539,suet,2023-06-13,4.74,2023-07-27
1540,cow & gate premium,2023-08-16,3.55,2023-10-09
1541,pakora,2023-08-17,6.25,2023-11-12
1542,suet,2023-06-09,4.04,2023-08-27
1543,cheese spread,2023-07-20,1.79,2023-09-17
1544,boiled egg,2023-08-02,7.71,2023-08-18
1545,trout,2023-08-08,9.67,2023-10-22
1546,yorkshire pudding,2023-07-26,2.69,2023-11-02
1547,cooking oil,2023-07-23,3.5,2023-09-18
1548,veggie burger,2023-07-06,4.39,2023-07-23
1549,yorkshire pudding,2023-07-03,0.57,2023-08-05
1550,complan powder,2023-08-20,6.8,2023-11-16
1551,poppy,2023-07-29,5.56,2023-09-09
1552,sambar,2023-06-25,7.73,2023-07-28
1553,champagne,2023-07-29,7.74,2023-08-30
1554,japanese chestnut,2023-07-22,5.53,2023-10-07
1555,consomme,2023-06-07,6.57,2023-06-24
1556,veggie burger,2023-08-20,8.92,2023-10-22
1557,donut,2023-07-04,1.0,2023-10-09
1558,huckleberry,2023-07-31,3.73,2023-08-31
1559,cooking oil,2023-07-30,7.49,2023-08-18
1560,allspice,2023-08-19,4.15,2023-09-25
1561,ginger ale,2023-06-14,0.72,2023-08-11
1562,complan powder,2023-06-23,4.64,2023-07-11
1563,pops ,2023-06-21,9.56,2023-08-17
1564,boysenberry,2023-07-15,0.72,2023-09-06
1565,donut,2023-07-28,6.58,2023-10-21
1566,rapini,2023-06-12,5.85,2023-08-17
1567,boiled egg,2023-08-06,2.06,2023-09-04
1568,flat bread,2023-07-01,3.74,2023-09-04
1569,greek yogurt,2023-06-10,4.48,2023-08-07
1570,spinach,2023-08-01,2.92,2023-10-03
1571,fodder,2023-07-29,4.23,2023-08-10
1572,seasoning,2023-06-17,2.14,2023-08-30
1573,ice cream bar,2023-07-25,9.94,2023-09-14
1574,elderberry,2023-08-01,1.3,2023-08-31
1575,complan powder,2023-07-28,7.52,2023-09-07
1576,elderberry,2023-06-23,2.08,2023-09-07
1577,consomme,2023-07-16,5.26,2023-09-16
1578,mincemeat,2023-06-10,3.08,2023-08-18
1579,ice cream bar,2023-08-17,8.8,2023-10-30
1580,cracker,2023-08-16,7.77,2023-09-21
1581,veggie burger,2023-06-24,7.63,2023-09-09
1582,sambar,2023-08-17,9.23,2023-11-23
1583,jackfruit,2023-07-06,5.97,2023-09-25
1584,custard apple,2023-08-02,8.95,2023-10-27
1585,passion fruit juice,2023-06-23,8.87,2023-09-13
1586,cocoa butter alternative,2023-07-16,8.45,2023-08-31
1587,egg,2023-08-23,6.85,2023-09-05
1588,boysenberry,2023-08-23,7.27,2023-10-17
1589,collard green,2023-06-29,7.3,2023-08-01
1590,rice cake,2023-06-08,7.03,2023-09-12
1591,evergreen huckleberry,2023-06-07,8.64,2023-09-08
1592,collard green,2023-08-11,3.86,2023-09-25
1593,spinach,2023-06-16,3.58,2023-08-05
1594,spinach,2023-07-21,2.36,2023-10-09
1595,fodder,2023-08-09,7.34,2023-11-07
1596,flat bread,2023-06-30,5.2,2023-07-25
1597,collard green,2023-06-11,6.53,2023-08-20
1598,seasoning,2023-07-23,9.74,2023-10-08
1599,egg,2023-08-17,2.06,2023-11-08
1600,jackfruit,2023-06-14,1.01,2023-08-06
1601,seasoning,2023-07-27,9.94,2023-09-30
1602,rapini,2023-06-18,3.82,2023-08-03
1603,ginger ale,2023-07-21,8.7,2023-10-07
1604,jackfruit,2023-08-04,4.14,2023-10-30
1605,jabuticaba,2023-06-14,3.22,2023-09-04
1606,mincemeat,2023-08-10,7.86,2023-11-14
1607,liver loaf,2023-07-25,6.19,2023-10-03
1608,salt,2023-07-22,2.04,2023-10-03
1609,organic sausage,2023-08-16,0.97,2023-10-15
1610,champagne,2023-06-20,9.8,2023-07-09
1611,suet,2023-06-27,2.38,2023-08-24
1612,pilau,2023-06-28,5.58,2023-07-11
1613,cheeseburger,2023-06-09,5.18,2023-08-03
1614,risotto,2023-07-27,7.65,2023-09-27
1615,flat bread,2023-06-24,5.16,2023-08-02
1616,champagne,2023-08-07,3.84,2023-11-01
1617,corned beef,2023-06-10,5.88,2023-08-30
1618,liver loaf,2023-07-08,3.37,2023-08-20
1619,fodder,2023-07-20,3.41,2023-09-05
1620,pate,2023-08-17,9.24,2023-10-27
1621,custard apple,2023-08-16,3.51,2023-10-11
1622,peanut butter,2023-07-10,7.81,2023-08-14
1623,liver loaf,2023-07-22,5.27,2023-08-26
1624,seasoning,2023-07-03,1.57,2023-08-31
1625,liquor,2023-06-24,8.38,2023-07-18
1626,boysenberry syrup,2023-06-07,2.36,2023-09-09
1627,bacardi,2023-07-24,4.37,2023-10-27
1628,turbot,2023-08-18,0.64,2023-08-29
1629,egg,2023-07-22,7.39,2023-10-05
1630,chinese salted fish,2023-06-14,1.56,2023-06-26
1631,chablis,2023-06-27,9.88,2023-08-14
1632,bacardi,2023-08-23,8.32,2023-11-10
1633,hamburger,2023-07-09,6.82,2023-08-03
1634,lobster,2023-06-09,5.39,2023-07-31
1635,canola,2023-06-28,6.78,2023-10-02
1636,rice cake,2023-07-21,1.5,2023-10-23
1637,allspice,2023-07-11,1.24,2023-09-16
1638,passion fruit juice,2023-07-29,8.91,2023-10-02
1639,evergreen huckleberry,2023-07-20,8.76,2023-08-26
1640,dried mixed fruit,2023-06-23,9.23,2023-08-17
1641,ice cream bar,2023-06-15,1.81,2023-08-18
1642,consomme,2023-08-04,3.58,2023-09-22
1643,ice cream bar,2023-08-20,0.76,2023-10-11
1644,dried mixed fruit,2023-07-10,0.74,2023-09-01
1645,natal plum,2023-07-06,8.33,2023-09-29
1646,trout,2023-08-06,5.45,2023-11-12
1647,pilau,2023-08-14,9.84,2023-10-15
1648,cow & gate premium,2023-07-05,5.31,2023-09-26
1649,fruit pastille,2023-07-13,9.15,2023-07-24
1650,japanese chestnut,2023-08-12,2.35,2023-10-20
1651,chilli con carne,2023-08-19,4.79,2023-08-30
1652,cheese spread,2023-06-09,2.63,2023-07-07
1653,boysenberry,2023-07-25,7.08,2023-08-16
1654,boysenberry,2023-08-20,2.65,2023-09-29
1655,japanese chestnut,2023-06-09,1.9,2023-08-03
1656,complan powder,2023-07-29,4.3,2023-10-12
1657,yorkshire pudding,2023-06-21,3.36,2023-07-05
1658,passion fruit juice,2023-07-27,9.69,2023-09-19
1659,custard apple,2023-08-06,8.82,2023-09-24
1660,spiny lobster,2023-08-02,6.35,2023-08-27
1661,pops ,2023-07-27,3.17,2023-09-01
1662,passion fruit juice,2023-07-27,8.17,2023-08-12
1663,chilli con carne,2023-07-18,4.97,2023-10-21
1664,flat bread,2023-07-14,9.2,2023-09-03
1665,sparkleberry,2023-06-11,1.94,2023-07-07
1666,custard apple,2023-07-07,6.81,2023-10-03
1667,flat bread,2023-06-25,8.39,2023-10-02
1668,applewood bacon,2023-07-02,5.82,2023-08-29
1669,mint sauce,2023-08-14,4.43,2023-10-17
1670,mint sauce,2023-08-20,8.03,2023-11-07
1671,peanut butter,2023-07-23,9.23,2023-09-14
1672,cardamom,2023-06-11,4.28,2023-08-31
1673,lobster,2023-07-16,1.24,2023-08-15
1674,organic sausage,2023-07-03,1.18,2023-10-02
1675,mint sauce,2023-06-21,8.03,2023-08-27
1676,jackfruit,2023-07-07,3.51,2023-09-27
1677,collard green,2023-06-07,7.99,2023-09-13
1678,seasoning,2023-08-06,1.95,2023-08-19
1679,liquor,2023-08-19,5.54,2023-11-19
1680,risotto,2023-06-21,8.59,2023-07-18
1681,liver loaf,2023-07-02,3.51,2023-09-30
1682,collard green,2023-07-15,3.81,2023-08-12
1683,donut,2023-07-26,8.13,2023-10-24
1684,frijj,2023-08-21,3.88,2023-09-10
1685,mincemeat,2023-08-17,5.29,2023-09-09
1686,chilli con carne,2023-08-21,1.73,2023-11-08
1687,sparkleberry,2023-06-20,0.94,2023-07-30
1688,organic sausage,2023-08-18,7.92,2023-09-15
1689,cheese spread,2023-06-13,8.83,2023-07-23
1690,cardamom,2023-07-12,5.74,2023-07-28
1691,spiny lobster,2023-06-27,8.19,2023-08-11
1692,syrup,2023-06-20,3.67,2023-09-05
1693,turbot,2023-06-12,2.9,2023-06-22
1694,boiled egg,2023-07-24,5.51,2023-10-11
1695,cocoa butter alternative,2023-08-15,7.83,2023-10-08
1696,frijj,2023-08-05,5.43,2023-10-18
1697,pate,2023-07-01,4.73,2023-08-12
1698,complan powder,2023-07-17,2.41,2023-09-01
1699,guinea hen,2023-06-25,1.32,2023-07-21
1700,donut,2023-07-31,6.35,2023-08-23
1701,lobster,2023-08-05,2.9,2023-10-13
1702,rapini,2023-06-23,5.72,2023-09-11
1703,chilli con carne,2023-07-27,3.04,2023-08-29
1704,boysenberry syrup,2023-08-16,6.83,2023-09-12
1705,prosciutto,2023-07-19,3.78,2023-09-28
1706,flat bread,2023-08-21,1.51,2023-09-22
1707,custard apple,2023-06-19,1.13,2023-08-23
1708,pakora,2023-08-12,0.58,2023-10-06
1709,sambar,2023-06-11,0.7,2023-07-17
1710,guinea hen,2023-07-24,9.87,2023-08-08
1711,turbot,2023-08-13,7.11,2023-10-20
1712,greek yogurt,2023-07-03,4.54,2023-09-22
1713,seasoning,2023-08-06,5.42,2023-11-01
1714,yorkshire pudding,2023-07-08,3.96,2023-09-05
1715,cooking oil,2023-08-14,3.7,2023-09-30
1716,spinach,2023-07-18,6.76,2023-08-15
1717,fruit pastille,2023-06-11,3.82,2023-06-25
1718,fruit pastille,2023-07-15,5.18,2023-09-05
1719,organic sausage,2023-06-11,2.73,2023-08-20
1720,canola,2023-06-26,2.07,2023-09-30
1721,bacardi,2023-06-10,3.43,2023-09-14
1722,peanut butter,2023-06-12,7.77,2023-07-04
1723,jabuticaba,2023-06-21,9.07,2023-07-11
1724,rice cake,2023-06-29,1.92,2023-09-14
1725,suet,2023-07-02,3.62,2023-07-15
1726,cooking oil,2023-07-29,3.34,2023-09-23
1727,cocoa butter alternative,2023-06-11,7.91,2023-08-16
1728,japanese chestnut,2023-06-14,2.18,2023-09-17
1729,dried mixed fruit,2023-06-27,6.98,2023-08-19
1730,evergreen huckleberry,2023-08-20,4.95,2023-09-29
1731,chablis,2023-08-02,5.25,2023-08-20
1732,trout,2023-07-08,8.4,2023-10-12
1733,salt,2023-06-21,0.62,2023-08-31
1734,corned beef,2023-08-11,3.26,2023-08-31
1735,passion fruit juice,2023-06-14,1.09,2023-08-03
1736,rapini,2023-08-08,8.27,2023-09-26
1737,custard apple,2023-06-08,7.92,2023-08-14
1738,custard apple,2023-06-15,4.78,2023-07-27
1739,ginger ale,2023-07-12,9.62,2023-09-23
1740,liver loaf,2023-06-18,9.74,2023-07-07
1741,champagne,2023-07-06,9.12,2023-08-10
1742,fodder,2023-06-19,5.18,2023-08-16
1743,beef bourguignonne,2023-07-15,5.45,2023-10-12
1744,cracker,2023-07-28,6.08,2023-09-15
1745,cardamom,2023-07-19,8.01,2023-08-10
1746,egg,2023-08-07,9.37,2023-09-03
1747,turbot,2023-08-14,8.18,2023-11-13
1748,salt,2023-07-15,0.55,2023-09-17
1749,spinach,2023-07-01,1.17,2023-07-13
1750,prosciutto,2023-08-21,1.64,2023-11-18
1751,jackfruit,2023-06-30,4.34,2023-10-03
1752,frijj,2023-06-09,2.73,2023-08-08
1753,custard apple,2023-08-23,5.23,2023-10-13
1754,japanese chestnut,2023-06-29,7.4,2023-08-27
1755,pakora,2023-08-16,7.8,2023-10-25
1756,jabuticaba,2023-06-20,7.86,2023-07-28
1757,spinach,2023-07-22,5.07,2023-10-17
1758,egg,2023-08-20,9.86,2023-10-23
1759,salt,2023-07-01,4.8,2023-08-13
1760,liquor,2023-08-03,7.61,2023-09-14
1761,frijj,2023-08-23,0.64,2023-09-30
1762,jackfruit,2023-07-26,8.86,2023-08-27
1763,collard green,2023-07-01,2.27,2023-09-18
1764,jabuticaba,2023-06-26,8.22,2023-08-19
